FID,Gut_No_,Plot_No,Sector_No_,Node,Division,Village,Prabhag,Shape_Leng,Shape_Area,Lattitude,Longitude,Google Map Link 
139,1c, , , ,Division1,Adivali_PL,prabhag 1,55.0090775683,161.189690999,19.1010710718,73.0575872356,"https://www.google.com/maps/search/?api=1&query=19.1010710718,73.0575872356"
140,139, , , ,Division1,Dhansar,prabhag1,61.7126737175,237.780493567,19.1015250212,73.0825798795,"https://www.google.com/maps/search/?api=1&query=19.1015250212,73.0825798795"
141, ,3,15,New Panvel,Division 4,Panvel_map,prabhag 18,44.5430354257,110.922320913,18.9990777139,73.1095173144,"https://www.google.com/maps/search/?api=1&query=18.9990777139,73.1095173144"
142, ,N/A,3,Kamothe,Division3,Kalamboli,prabhag 11,62.2056158835,230.075114839,19.0164191771,73.099428559,"https://www.google.com/maps/search/?api=1&query=19.0164191771,73.099428559"
143, ,N/A,39,Kamothe,Division3,Kamothe,prabhag 13,282.888156144,2421.71803096,19.017800925,73.0810535269,"https://www.google.com/maps/search/?api=1&query=19.017800925,73.0810535269"
144, ,N/A, 39,Kamothe,Division3,Kamothe,prabhag 13,45.0622757823,115.769650233,19.018045569,73.0816145335,"https://www.google.com/maps/search/?api=1&query=19.018045569,73.0816145335"
145, ,N/A, 39,Kamothe,Division3,Kamothe,prabhag 13,46.1141606891,119.077025622,19.0178052229,73.081651742,"https://www.google.com/maps/search/?api=1&query=19.0178052229,73.081651742"
146, ,N/A,39,Kamothe,Division3,Kamothe,prabhag 13,32.4615342827,44.8992743637,19.0171865239,73.0820597152,"https://www.google.com/maps/search/?api=1&query=19.0171865239,73.0820597152"
147, ,N/A,39,Kamothe,Division3,Kamothe,prabhag 13,27.5114648913,35.5252182753,19.0172071077,73.0821084823,"https://www.google.com/maps/search/?api=1&query=19.0172071077,73.0821084823"
148, ,N/A,39,Kamothe,Division3,Kamothe,prabhag 13,28.8905533282,35.2566763842,19.0170880531,73.0822690717,"https://www.google.com/maps/search/?api=1&query=19.0170880531,73.0822690717"
149, ,N/A,39,Kamothe,Division3,Kamothe,prabhag 13,31.5809699306,39.1629808764,19.0170204844,73.082328613,"https://www.google.com/maps/search/?api=1&query=19.0170204844,73.082328613"
150, ,N/A,39,Kamothe,Division3,Kamothe,prabhag 13,36.0144202996,70.589328442,19.0157113493,73.0832869272,"https://www.google.com/maps/search/?api=1&query=19.0157113493,73.0832869272"
151, ,N/A,39,Kamothe,Division3,Kamothe,prabhag 13,31.1164140387,60.2564993809,19.0156767411,73.0829118536,"https://www.google.com/maps/search/?api=1&query=19.0156767411,73.0829118536"
